,ID,Scientific name
0,10400109,Metachirus 
1,10400110,Metachirus nudicaudatus
2,10400111,Metachirus nudicaudatus
3,10400112,Metachirus nudicaudatus
4,10400113,Metachirus nudicaudatus
5,10400114,Metachirus nudicaudatus
6,10400115,Metachirus nudicaudatus
7,10400116,Micoureus 
8,10400117,Micoureus alstoni
9,10400118,Micoureus constantiae
10,10400119,Micoureus demerarae
11,10400120,Micoureus demerarae
12,10400121,Micoureus demerarae
13,10400122,Micoureus demerarae
14,10400123,Micoureus demerarae
15,10400124,Micoureus demerarae
16,10400125,Micoureus paraguayanus
17,10400126,Micoureus paraguayanus
18,10400127,Micoureus paraguayanus
19,10400128,Micoureus phaeus
20,10400129,Micoureus regina
21,10400130,Micoureus regina
22,10400131,Micoureus regina
23,10400132,Micoureus regina
24,10400133,Monodelphis 
25,10400134,Monodelphis adusta
26,10400135,Monodelphis americana
27,10400136,Monodelphis brevicaudata
28,10400137,Monodelphis dimidiata
29,10400138,Monodelphis domestica
30,10400139,Monodelphis emiliae
31,10400140,Monodelphis glirina
32,10400141,Monodelphis iheringi
33,10400142,Monodelphis kunsi
34,10400143,Monodelphis maraxina
35,10400144,Monodelphis osgoodi
36,10400145,Monodelphis palliolata
37,10400146,Monodelphis rubida
38,10400147,Monodelphis scalops
39,10400148,Monodelphis sorex
40,10400149,Monodelphis theresa
41,10400150,Monodelphis umbristriata
42,10400151,Monodelphis unistriata
43,10400152,Philander 
44,10400153,Philander andersoni
45,10400154,Philander frenatus
46,10400155,Philander mcilhennyi
47,10400156,Philander opossum
48,10400157,Philander opossum
49,10400158,Philander opossum
50,10400159,Philander opossum
51,10400160,Philander opossum
52,10400161,Thylamys 
53,10400162,Thylamys cinderella
54,10400163,Thylamys elegans
55,10400164,Thylamys karimii
56,10400165,Thylamys macrurus
57,10400166,Thylamys pallidior
58,10400167,Thylamys pusillus
59,10400168,Thylamys sponsorius
60,10400169,Thylamys tatei
61,10400170,Thylamys velutinus
62,10400171,Thylamys venustus
63,10400172,Tlacuatzin 
64,10400173,Tlacuatzin canescens
65,10400174,Tlacuatzin canescens
66,10400175,Tlacuatzin canescens
67,10500001, 
68,10500002, 
69,10500003,Caenolestes 
70,10500004,Caenolestes caniventer
71,10500005,Caenolestes condorensis
72,10500006,Caenolestes convelatus
73,10500007,Caenolestes convelatus
74,10500008,Caenolestes convelatus
75,10500009,Caenolestes fuliginosus
76,10500010,Caenolestes fuliginosus
77,10500011,Caenolestes fuliginosus
78,10500012,Caenolestes fuliginosus
79,10500013,Lestoros 
80,10500014,Lestoros inca
81,10500015,Rhyncholestes 
82,10500016,Rhyncholestes raphanurus
83,10500017,Rhyncholestes raphanurus
84,10500018,Rhyncholestes raphanurus
85,10600001, 
86,10600002, 
87,10600003,Dromiciops 
88,10600004,Dromiciops gliroides
89,10700001, 
90,10700002, 
91,10700003,Notoryctes 
92,10700004,Notoryctes caurinus
93,10700005,Notoryctes typhlops
94,10800001, 
95,10800002, 
96,10800003,Thylacinus 
97,10800004,Thylacinus cynocephalus
98,10800005, 
99,10800006,Myrmecobius 
100,10800007,Myrmecobius fasciatus
101,10800008,Myrmecobius fasciatus
102,10800009,Myrmecobius fasciatus
103,10800010, 
104,10800011, 
105,10800012, 
106,10800013,Dasycercus 
107,10800014,Dasycercus cristicauda
108,10800015,Dasykaluta 
109,10800016,Dasykaluta rosamondae
110,10800017,Dasyuroides 
111,10800018,Dasyuroides byrnei
112,10800019,Dasyurus 
113,10800020,Dasyurus albopunctatus
114,10800021,Dasyurus geoﬀroii
115,10800022,Dasyurus hallucatus
116,10800023,Dasyurus maculatus
117,10800024,Dasyurus spartacus
118,10800025,Dasyurus viverrinus
119,10800026,Myoictis 
120,10800027,Myoictis melas
121,10800028,Myoictis wallacii
122,10800029,Neophascogale 
123,10800030,Neophascogale lorentzi
124,10800031,Parantechinus 
125,10800032,Parantechinus apicalis
126,10800033,Phascolosorex 
127,10800034,Phascolosorex doriae
128,10800035,Phascolosorex dorsalis
129,10800036,Phascolosorex dorsalis
130,10800037,Phascolosorex dorsalis
131,10800038,Phascolosorex dorsalis
132,10800039,Pseudantechinus 
133,10800040,Pseudantechinus bilarni
134,10800041,Pseudantechinus macdonnellensis
135,10800042,Pseudantechinus mimulus
136,10800043,Pseudantechinus ningbing
137,10800044,Pseudantechinus roryi
138,10800045,Pseudantechinus woolleyae
139,10800046,Sarcophilus 
140,10800047,Sarcophilus harrisii
141,10800048,Sarcophilus harrisii
142,10800049,Sarcophilus harrisii
143,10800050, 
144,10800051,Antechinus 
145,10800052,Antechinus adustus
146,10800053,Antechinus agilis
147,10800054,Antechinus bellus
148,10800055,Antechinus ﬂavipes
149,10800056,Antechinus ﬂavipes
150,10800057,Antechinus ﬂavipes
151,10800058,Antechinus godmani
152,10800059,Antechinus leo
153,10800060,Antechinus minimus
154,10800061,Antechinus stuartii
155,10800062,Antechinus subtropicus
156,10800063,Antechinus swainsonii
